episode,return,epsilon,loss,mean_affinity
0,-167.7812520688322,1.0,0.0,0.0
1,-209.6891877619285,1.0,0.0,0.0
2,-31.052868725200398,1.0,0.0,0.0
3,-280.960840482413,1.0,0.0,0.0
4,-344.6050802859012,0.697046600835495,11.860653109020657,0.8172278727094332
5,-237.58727898578357,0.4351424010585501,9.070453598144207,1.045663444919789
6,-86.80295470101822,0.2662522686041882,7.524750819011611,1.0910879245826177
7,-131.12245185329,0.1451730787173275,5.857051289771214,1.0515018534069218
8,-101.39077435857054,0.07758382377679894,8.154978179931641,1.0240865993499755
9,-141.51793642230166,0.05,10.52268312907219,0.9817082950472832
10,-416.5201383541023,0.05,12.19546563803039,1.1078116782086729
11,-189.05226565338583,0.05,18.840156995492176,1.2466975671018479
12,-185.40749049099617,0.05,19.549635644930945,1.301809404306351
13,-215.7057118367693,0.05,26.12090440023513,1.3371764038290297
14,-104.83963391922833,0.05,24.906795209425468,1.3794131782319812
15,-273.39514562861604,0.05,30.581013857544242,1.397719307379289
16,25.550381711067878,0.05,32.796775990962985,1.4249230815172196
17,-1.9073498233390183,0.05,32.26103124873979,1.451634407043457
18,-59.044921986105805,0.05,40.52250459527969,1.45019149518013
19,-27.973005315226644,0.05,49.25767587957711,1.4614976537638698
20,15.010623152007454,0.05,57.00680015841101,1.4739601255482078
21,-264.0490736994816,0.05,71.03352721043122,1.513441106906304
22,-251.5351011294514,0.05,86.63906988283483,1.520380214947026
23,-174.54758821873824,0.05,102.75873741125449,1.5301105242509108
24,-60.08062070978784,0.05,197.2521807246738,1.5289574596616957
25,-224.25172208675855,0.05,210.5990367013055,1.5294002584508948
26,-212.4347101889394,0.05,202.8629206205669,1.5531095517309088
27,-186.3070205328093,0.05,343.99375211054354,1.540567553223078
28,-296.64821898333514,0.05,329.7119470202057,1.556760733354025
29,-243.12329127228983,0.05,451.6383842908419,1.5637657159414047
30,-297.22990566690635,0.05,495.9896373055198,1.5732133328914641
31,-237.74993151581785,0.05,548.5261351985316,1.5857001669395905
32,-130.14811520422788,0.05,701.6385885457523,1.5979149712890874
33,-229.34984813447673,0.05,999.4990492227915,1.6030906496821222
34,-248.6928801299166,0.05,1060.5928436879362,1.616023265913631
35,-238.344592105497,0.05,1215.6228590616365,1.6295724932740374
36,-103.97450030437807,0.05,1135.8056389944893,1.631958584700312
37,-265.2984923349074,0.05,1255.5453431943042,1.6426215050584179
38,-110.50512111898753,0.05,1738.4649559020995,1.652220461765925
39,-179.2481098822984,0.05,1910.2067860778498,1.658209567167321
40,-219.13833215448756,0.05,2675.906341310275,1.667646709135023
41,-194.01843451264273,0.05,1747.1922372409276,1.676932339157377
42,-132.85616758846075,0.05,2710.1788654327393,1.6642003277937572
43,-332.6973459624296,0.05,2251.44287942777,1.6823433493353
44,-400.5256443327624,0.05,3003.28967551696,1.6963114004868727
45,-261.3777319474074,0.05,3334.8644458731424,1.7049209309607436
46,-446.8691142650648,0.05,3656.339072641902,1.7042009574580568
47,-496.3180360796179,0.05,4555.3955068060695,1.720377491890116
48,-379.81149011424975,0.05,5957.246567338705,1.7372511243447661
49,-110.12815155801528,0.05,4932.123860862039,1.7374709931286898
50,-137.58254783233417,0.05,7101.139663510206,1.7472378466187455
51,-139.91678877331304,0.05,5473.005782515915,1.7417807976404827
52,-451.7774249473077,0.05,6803.818893629505,1.7532733025089386
53,-135.15241108077225,0.05,10043.87125345866,1.7633018771807352
54,-262.1093420434664,0.05,8754.26456191119,1.7582959048888263
55,-391.9223304421182,0.05,9527.96503211712,1.768485017206477
56,-379.22682591854766,0.05,12658.601772094726,1.7712539205551148
57,-478.6213925020522,0.05,10641.308245572176,1.780837980183688
58,-112.2209390250436,0.05,11123.92045222102,1.7749283748704034
59,-690.309886103761,0.05,10766.098748666269,1.7823745792294725
60,-349.5526886068326,0.05,10647.805295847884,1.7900294535087817
61,-128.6536098657841,0.05,11452.037066141764,1.7881575663884481
62,-136.00319065946806,0.05,12228.328555767353,1.793394288649926
63,-454.3815078023844,0.05,9374.82424054827,1.787898206994647
64,-491.7896518887985,0.05,15031.434662637832,1.7970635377908055
65,-196.01333921800472,0.05,15281.939623390756,1.8025876472635967
66,-318.0666576980411,0.05,15945.368751330254,1.8034013716074138
67,-506.0484379662951,0.05,13007.489703686206,1.806242766318383
68,-560.1029740893238,0.05,12760.32768744927,1.8138343993719521
69,-139.0519247634964,0.05,15400.730635157171,1.8187683888201445
70,-357.2793674036246,0.05,21767.565533024248,1.8253007383629827
71,-545.0815649779138,0.05,17942.123862372504,1.8227795547909207
72,-336.05220705277713,0.05,20225.788780212402,1.8239238028940947
73,-341.67084332030225,0.05,20913.942174987795,1.827377736568451
