episode,return,epsilon,loss,mean_affinity
0,-216.56435201028586,1.0,0.0,0.0
1,-244.65521669093593,1.0,0.0,0.0
2,-320.01592911691085,1.0,0.0,0.0
3,-257.15419473217804,1.0,0.0,0.0
4,-302.53386426662905,0.7552531090661897,9.663986836160932,0.8069630488753319
5,-15.16295171641164,0.42013897252428334,8.381111418080126,1.183422565460205
6,-190.9430695674049,0.30483872516307353,8.712683603167534,1.2622632961720228
7,-377.28672918309076,0.19513012515638165,7.832287022237027,1.29735950137792
8,-674.603263927118,0.13001512070402377,8.783705993934914,1.292066944970025
9,-372.4855311225094,0.05830244700006734,9.062724533677102,1.3047687731683255
10,-63.248122688913234,0.05,8.892573587822191,1.3388975220497208
11,-35.097759138116686,0.05,8.489353131556857,1.4013092759726704
12,-140.45459829765656,0.05,10.137758213177062,1.428658846177553
13,-162.10335623329874,0.05,10.780208225250243,1.5495623860359191
14,-110.52523275648687,0.05,11.817373210430146,1.5538727777004242
15,-128.73124182125335,0.05,12.99960506674069,1.5537079692776523
16,-145.75061664753133,0.05,13.069571722582513,1.5435859043586073
17,-276.4651848310423,0.05,14.550434867858886,1.5628810160160065
18,-112.90925580778465,0.05,15.630071576564543,1.5768515905064922
19,18.348978300495574,0.05,18.00131880718729,1.5698799319889234
20,-355.9732199258163,0.05,17.61592104136944,1.58529978916049
21,-197.41879371931395,0.05,17.762776726816856,1.5726493100751624
22,-198.89501989118054,0.05,21.301105376445886,1.5684835983045173
23,-349.60234009320936,0.05,28.63245610970871,1.619036074204515
24,-295.4210032838738,0.05,33.95045060576507,1.6620070367071569
25,-475.329249089216,0.05,39.19338972034263,1.6542181031759766
26,-49.043348008884536,0.05,42.30001698539577,1.6697114247124396
27,-50.581122492354304,0.05,45.30111064304641,1.6634756874630097
28,-481.10348289384973,0.05,53.85028274264632,1.6685798406315762
29,-144.04814507027552,0.05,65.69995049247169,1.6814909243494047
30,-154.786331423428,0.05,81.07570563068253,1.6835597403578655
31,-114.21852511793918,0.05,80.99655443280402,1.691021517186182
32,-159.36492361117837,0.05,81.23817444010399,1.6849733704999852
33,-178.6067408558696,0.05,92.50323978951137,1.6760436391047675
34,-150.42839411426058,0.05,100.87028864510039,1.66017050349135
35,-148.14491705014228,0.05,101.19931712935242,1.6695828566068336
36,-175.91259337805525,0.05,102.49091293456706,1.6735348494340343
37,-124.94940093512496,0.05,111.99019454749855,1.6760705309945183
38,-122.78070890002475,0.05,125.145912998601,1.6817282498168034
39,-182.7168565219032,0.05,124.49916891580999,1.7046435784884277
40,-187.45517164580116,0.05,120.20494284698928,1.7218693273654881
41,-174.25075116949813,0.05,118.66850820695511,1.7329374756475893
42,-154.1071502299103,0.05,121.91266747387972,1.733173777569424
43,-187.61184232999386,0.05,110.2018630392952,1.7397359051323462
44,-53.13916961402917,0.05,108.12727491672223,1.7449079359380097
45,-168.72884528751456,0.05,114.69990214993877,1.7340897840838279
46,-221.738476764623,0.05,121.70003484595905,1.729721872643991
47,-190.66725636573506,0.05,107.49160283406576,1.7310011081206493
48,-176.3467563453325,0.05,124.81089197216612,1.7418864445252853
49,-182.06458021459088,0.05,105.46224764869326,1.7374317634673346
50,-158.76603187859445,0.05,117.13225997224146,1.735066933291299
51,-206.83851007407958,0.05,96.74386351808856,1.717905612275152
52,-218.67777491462323,0.05,104.34127506187984,1.719853627894606
53,-42.88948315482145,0.05,114.42575458903889,1.7221988898057203
54,-165.8040763177247,0.05,138.9147036016284,1.7136160550425894
55,-98.67878142440469,0.05,133.1921161338687,1.7219563429243863
56,-182.73600654366686,0.05,120.3053063688607,1.723106740877546
57,-252.51352103583702,0.05,174.0971498778372,1.7111163861823804
58,-204.51841943409366,0.05,478.91150168454004,1.7112473708712008
59,-294.6452010887333,0.05,514.037555460949,1.7013686402255752
60,-149.73169554995275,0.05,563.860244207029,1.6974976080435293
61,-164.11557612449732,0.05,493.78205359067846,1.715196836766579
