episode,return,epsilon,loss,mean_affinity
0,-167.7812520688322,1.0,0.0,0.0
1,-209.6891877619285,1.0,0.0,0.0
2,-31.052868725200398,1.0,0.0,0.0
3,-280.960840482413,1.0,0.0,0.0
4,-327.23215367168484,0.7147372386831305,13.529378649014145,0.8629038502920919
5,-325.7085440516306,0.4529463432347434,14.148957598340381,1.3262108878774956
6,-155.38715683930576,0.24820838415550486,13.972928567727406,1.5179950614770255
7,-289.88140836042817,0.17919120740315364,13.251161259871262,1.5361868619918824
8,-470.2328358900284,0.12059799144222175,14.564112023462224,1.5081843545165243
9,-462.61321528926214,0.05,14.33837620417277,1.5598251646843508
10,-15.429204088973904,0.05,13.090128724715289,1.6009817319757798
11,-179.2221096033375,0.05,14.449781446745902,1.6083603868580827
12,-187.04137865189767,0.05,12.567169041309542,1.611442293935609
13,-106.38615818950231,0.05,13.539830058813095,1.582260403249945
14,-77.81351041810976,0.05,14.842595221779563,1.5457484635439787
15,-232.72671531337664,0.05,15.553681593192252,1.5280613185543763
16,-192.17102993039472,0.05,16.505285263061523,1.5084598527537834
17,-184.40464933500112,0.05,16.06632693923346,1.492117690567923
18,-158.93092070776146,0.05,17.576828672082385,1.482933159691194
19,119.05344056205581,0.05,24.657230708122253,1.564922501683235
20,-193.5149921898415,0.05,33.487798937435805,1.6431498760464547
21,-230.02808049532402,0.05,44.01280060626091,1.649376951379979
22,-136.17582460024798,0.05,53.46698101555429,1.6513319248106422
23,-215.57808141107427,0.05,45.97650983641225,1.6550094744851511
24,-227.82180931810157,0.05,46.08596556003277,1.6913425688977008
25,-206.77020072547515,0.05,47.112688428792524,1.7071218981814744
26,-270.87703176272714,0.05,47.9433731519259,1.7414097224749052
27,-251.99157678654007,0.05,48.22569639428618,1.7624981227865073
28,-173.63400471687396,0.05,47.24851014142368,1.7761029929400765
29,-230.5270287928215,0.05,43.671149707422025,1.776451661092479
30,-259.89746214230513,0.05,44.2294199269846,1.781735400541113
31,-226.27849957803693,0.05,42.390354826956084,1.785068806734952
32,-286.25530466799,0.05,45.88300860800394,1.7729190050101862
33,-199.16201975238008,0.05,48.29693611514184,1.777778850063201
34,-252.67443762626246,0.05,43.36011484236944,1.775911253406888
35,-201.85046813147972,0.05,52.526450714975034,1.7628114099772472
36,-153.22575088468605,0.05,46.572540480295814,1.7408423876762391
37,-172.16598806979846,0.05,48.78323455386692,1.7401782976256477
38,-178.083097699117,0.05,47.594702832452185,1.736000736006375
39,-243.3729372718815,0.05,53.95082990529305,1.7381318755958914
40,-281.00866033646173,0.05,55.9778024713758,1.7296032918171145
41,-220.26109750384342,0.05,62.80752039524707,1.7336375582474228
42,-151.89234344468517,0.05,68.06319423460624,1.7338337713563945
43,-236.58672533872408,0.05,68.53599736686256,1.7136136896921612
44,-359.50375460778133,0.05,73.74131817598955,1.7133033977736027
45,-185.46832596488395,0.05,85.1197628466611,1.734483730369413
46,-388.13304479165987,0.05,101.14939208950163,1.732194345895485
47,-336.488425998129,0.05,113.31111980073246,1.7506907083737997
48,-145.27788847876883,0.05,117.92574144627926,1.7683391196884377
49,-326.59568496027396,0.05,123.60670107464458,1.7521865432576615
50,-261.1382834902445,0.05,128.08956037248885,1.7736299144370216
51,-307.86461986464957,0.05,127.91810491943359,1.7629841260910035
52,-194.38933690952126,0.05,136.7735656952036,1.7919711396098137
53,-252.7192317855752,0.05,150.35690059661866,1.799211209160941
54,-266.52837463698904,0.05,140.21616004829977,1.7884907900397458
55,-83.41255073972826,0.05,144.5055535858001,1.813176116751666
56,-209.05348338517294,0.05,154.098153386447,1.823717810807314
57,-127.06785698282204,0.05,159.38084019252233,1.8412709849221365
58,-171.91548441575404,0.05,161.5698591738331,1.8443774633667096
59,-406.84731812430596,0.05,168.33570837475764,1.8512645234123932
60,-374.0904682498489,0.05,194.62337322341662,1.852848510502437
61,-137.22572640737914,0.05,232.30650939941407,1.861337412255151
62,-77.93274868659289,0.05,248.59403093818094,1.8356475530027532
63,-222.60485221204115,0.05,318.97632091494233,1.8427005930459879
64,-185.44333744288772,0.05,277.94292230004663,1.853024105767946
65,-203.56567125241415,0.05,319.6894764735781,1.8546627523570225
66,-180.79109820495103,0.05,334.1237444286504,1.835873526975143
67,-184.46388669999874,0.05,366.7972286769322,1.8354012934224946
68,-329.61718243152995,0.05,383.7454743561921,1.8355839950067026
69,-143.76177316309858,0.05,644.9399133300781,1.8369979820251465
70,-82.09943976983911,0.05,591.7981869586102,1.855571613683329
71,-161.65031370046506,0.05,677.0005321234045,1.8306855953915018
72,-126.15909381697263,0.05,767.4546818088841,1.8609447178539928
73,9.014502680522128,0.05,682.3364141958731,1.8623776134149528
