episode,return,epsilon,loss,mean_affinity
0,-142.22038749710777,1.0,0.0,0.0
1,-300.95267374748886,1.0,0.0,0.0
2,-205.92799898692226,1.0,0.0,0.0
3,-111.98151087410783,1.0,0.0,0.0
4,-284.7392635258964,1.0,0.0,0.0
5,-345.7473518520919,0.6149486215357263,12.374017956330604,0.869796111411655
6,-238.38908469586195,0.3858205374665315,11.196527009369225,1.1665217517524638
7,-210.301646366196,0.10376060541355137,8.839024032345256,1.181490872652476
8,-293.9412604584812,0.05,6.815847994658747,1.1615562039643086
9,-54.26354881628548,0.05,7.056128054379142,1.2727582129565151
10,-407.26239601412516,0.05,8.266624673036231,1.4393644795584872
11,-180.94820383180468,0.05,11.23756347875544,1.5064055553094589
12,-167.80404106131502,0.05,13.479995662967363,1.5328586393346388
13,-23.945570081986844,0.05,15.554341101255574,1.5449958277530358
14,-244.9360956723929,0.05,19.660298357407253,1.5711678135253133
15,-144.54130640771785,0.05,25.60855595521101,1.5806982536015548
16,-205.26485260471014,0.05,23.360640233876754,1.596804667492302
17,-525.8410959344467,0.05,35.47587794481322,1.5863271092259608
18,-263.9169484622969,0.05,32.984921018538934,1.6086596365897887
19,-328.4356744141213,0.05,39.887806951211935,1.602225423384343
20,-32.53210615001623,0.05,51.386206425258095,1.616988181386675
21,-117.90925759408044,0.05,56.75502725190754,1.6167644760276698
22,-384.0970627510506,0.05,73.40232223776442,1.623467429360347
23,-193.96676646386487,0.05,75.32394408821163,1.6465331746223277
24,-204.34088797011697,0.05,100.01483891753975,1.6480914925763366
25,-330.8490551096738,0.05,138.0625970013492,1.6764955741542202
26,29.783483239264598,0.05,164.10614703131503,1.7004642095722136
27,-80.78691995988028,0.05,178.7662390876062,1.7093400770855933
28,-256.94358313203486,0.05,181.86335019305744,1.72966243023366
29,0.46833586484407874,0.05,169.60914598192488,1.7278520076993913
30,-523.5232504085025,0.05,191.2712431093202,1.7401447100360898
31,-223.96962643196866,0.05,198.0191532352647,1.762682280714274
32,-194.6122942499432,0.05,219.88745164691278,1.7577500514264377
33,-224.54856316874816,0.05,207.27686750041366,1.7547918219136966
34,-248.03635867618522,0.05,239.929710460599,1.7749434336732253
35,-180.3699018541024,0.05,268.3767727658511,1.7806059255223095
36,-118.32448793601112,0.05,303.92694350624083,1.7951877644062042
37,-71.5315761692251,0.05,290.643732542038,1.7768688460588455
38,-301.6917080519456,0.05,336.41811707901627,1.782936352246428
39,-37.65073964286875,0.05,313.0863552799225,1.7715679500102997
40,140.4426699781577,0.05,300.70985469515364,1.7554348480133783
41,-179.06709466914018,0.05,293.0151755035799,1.7670521125513423
42,69.81313156550885,0.05,314.28888674343335,1.7896405819292163
43,-214.09805980762343,0.05,293.41885494081316,1.7875312366054557
44,-132.15906206401235,0.05,309.3900544006045,1.7638573074104762
45,-96.92181408926649,0.05,294.5305495986938,1.7615570964813232
46,-73.0213479250792,0.05,291.67468798759927,1.7652372920979336
47,-102.18669846059015,0.05,275.851358797492,1.767301883275916
48,-100.44905630303208,0.05,268.75626623900575,1.7838421705085483
49,-46.909472337163216,0.05,278.61339418691546,1.7819200279892131
50,-13.353476716373862,0.05,308.19237644084984,1.794648356627727
51,12.383884666522562,0.05,295.4077071687615,1.8034305145066098
52,-37.825278930691596,0.05,270.64682913675,1.811754807882886
53,-96.92724403792167,0.05,297.90966304389315,1.8173335842303817
54,8.391453089158006,0.05,297.8394151816805,1.8194770005594687
55,-68.92687374850885,0.05,340.36382569585527,1.8284095653465815
56,-64.2195953995385,0.05,367.4623516837319,1.8207423503582294
57,-168.2281949247332,0.05,342.7541777566569,1.8385528406954759
58,-43.24683389654881,0.05,350.489954810729,1.8536142247883394
59,-6.085046722991763,0.05,377.17088072890533,1.846436033555127
60,-138.34552804699075,0.05,355.8475790492824,1.863418749121369
61,188.3303751197874,0.05,365.6381773376465,1.857657810619899
62,-171.02220652450393,0.05,345.1410253953564,1.8687715844590536
63,-149.83036934873263,0.05,351.6312684067735,1.878525898263261
64,-112.26072668764876,0.05,346.8966765861511,1.8780762368440629
65,-197.6963831184572,0.05,364.86605001265,1.8719162628535302
66,-38.53492156718501,0.05,416.16038716167486,1.8737019661369674
67,-205.8953191386919,0.05,374.12161372516647,1.8712342549525693
68,-103.01446963594017,0.05,375.58239985675345,1.8682195158993327
69,-96.96924457721535,0.05,458.7310556463293,1.8637732436528076
70,-180.662289147823,0.05,596.5547835359869,1.8588294356139665
71,-299.5923067769349,0.05,694.7332612657056,1.8233244591152544
72,-229.71856646271016,0.05,691.5906715114621,1.8153681337398335
73,-344.0921514567508,0.05,629.8515229584068,1.8235762939658215
74,-369.38686912531233,0.05,668.7156643516139,1.8243218798386422
75,-178.62442167284328,0.05,628.5183326828648,1.8328784284457353
76,-89.08373322260653,0.05,660.2127006932309,1.8423927489079928
77,-322.03839580628295,0.05,684.2867690441656,1.8412757960020327
78,-341.63523575645786,0.05,617.1373245932839,1.8454137682914733
79,-148.30843551453515,0.05,690.047857310674,1.8348242697650439
80,-347.6648721124523,0.05,651.0140915490631,1.844790238186829
81,-340.734417022128,0.05,630.4814347487229,1.8486816201891219
82,-587.3405369940789,0.05,632.4204116556685,1.85702125254394
83,-357.51173212994246,0.05,573.0390289661497,1.8586409267529036
84,-294.1924451147667,0.05,618.6598424371683,1.8575062290677484
85,-347.37614499074493,0.05,601.4199532129431,1.8444112462382163
86,-324.7192517296784,0.05,550.5139551336115,1.8581790414723482
87,-138.33882904625523,0.05,610.9421485097785,1.8690364062786102
88,-272.44334144207426,0.05,542.8264878636642,1.867947961786668
89,-371.6641745207817,0.05,575.9472707583581,1.8668077558646967
90,-292.39749492169443,0.05,557.3692932128906,1.8699096960050088
91,-306.5732081458268,0.05,608.7553596218137,1.8688766460349089
92,-338.34627705571495,0.05,533.0843349488314,1.8733815309429958
93,-218.007179337273,0.05,571.7483023710029,1.8687564786090407
94,-299.7601679262385,0.05,622.714241027832,1.8792017190687118
95,-274.35144625979007,0.05,573.1630160728197,1.8826660373237696
96,-79.34698587988017,0.05,573.7791505742956,1.8759034264970709
97,-341.8242817427398,0.05,640.5637741927262,1.8778699177962084
98,-96.47117783771837,0.05,548.090761992891,1.8716958023734012
99,-164.42950392522206,0.05,575.9464811597552,1.8766629099845886
100,-279.7971279889167,0.05,541.8923256613991,1.8703404285691
101,-260.3889470955711,0.05,588.1891157495694,1.8722864004570667
102,-223.91847939689967,0.05,570.5350405273438,1.8780176544189453
103,-272.76573983475794,0.05,609.5596586926149,1.8611226813627941
104,-198.38846473471983,0.05,582.9773749718299,1.8707185176702645
105,-186.82698885908405,0.05,551.2864286104838,1.8768749609589577
106,-251.01896234358196,0.05,567.2417190953305,1.8804776268570047
107,-122.45423235808613,0.05,663.4377358572824,1.8783103363854545
108,-284.87741806080817,0.05,685.190216737635,1.8704774029114668
109,-228.35242066622556,0.05,598.9666531789217,1.8815869804766538
110,-182.19505558739596,0.05,611.9897657394409,1.873228919506073
111,-197.42048385712206,0.05,694.1846968706916,1.8941972045337452
112,-249.11930703195642,0.05,627.733199316608,1.8826609800669774
113,-284.4234082348576,0.05,643.1442974903545,1.8907017483085882
114,-382.7828431701249,0.05,698.9614746536033,1.8918137196181477
115,-296.1511665702301,0.05,691.5500441729013,1.8878907884581615
116,-251.04155214945763,0.05,658.9362138275408,1.8886449652859287
117,-303.0689803322273,0.05,769.9469482421875,1.876748769423541
118,-344.5737004518363,0.05,652.7954129517533,1.8730097563212154
119,-216.83747934645186,0.05,663.6830484490646,1.87876053860313
120,-232.27346931845898,0.05,720.5607597414127,1.8825296646307323
121,-319.4891055026588,0.05,745.6551410204744,1.8777143824590397
122,-330.2462105171255,0.05,724.53478802575,1.8757862059606447
123,-356.06890462858155,0.05,730.2553988647461,1.880295023918152
124,-438.87230120973965,0.05,780.5129671412587,1.877219205660536
125,-272.06582514164234,0.05,860.7835862295968,1.869965516385578
126,-203.2397258547379,0.05,769.7462232540815,1.873354048301012
127,-362.3168168235546,0.05,760.6282066062645,1.8676245821846855
128,-267.48838243033833,0.05,1132.169190256219,1.860826101219445
129,-179.58985970561474,0.05,1028.387351890663,1.8690234159494374
