episode,return,epsilon,loss,mean_affinity
0,-216.56435201028586,1.0,0.0,0.0
1,-244.65521669093593,1.0,0.0,0.0
2,-320.01592911691085,1.0,0.0,0.0
3,-257.15419473217804,1.0,0.0,0.0
4,-292.3055605982326,0.7705488893118823,9.925835572756254,0.805938435288576
5,-302.0382622133293,0.5057535983897912,9.653744067464556,1.2941091528960638
6,-187.63337071730064,0.3669578217261671,7.983039416372776,1.4629505518823862
7,-536.4066661701358,0.2384520680152932,9.598159047060234,1.5579558236654414
8,-284.0804562235025,0.15650920157696743,8.262984043075924,1.525401839188167
9,-308.9113139026165,0.11585765144771248,9.85202598174413,1.440405042966207
10,-259.590133938761,0.08490939117940327,8.440310624337965,1.5698291255581764
11,-161.37829705758202,0.061607401965086545,6.498497597873211,1.486855547875166
12,-26.244916996019555,0.05,9.100011909709258,1.4693086603108574
13,-231.27839103015572,0.05,10.001555888883528,1.5628405527401996
14,-271.64653560388354,0.05,9.786858373880387,1.5580998077988624
15,-234.62502561356888,0.05,10.179986024424977,1.5618057442407538
16,-312.7539341277801,0.05,10.596723916190012,1.5917123467581613
17,-233.90351159820608,0.05,8.36839758515358,1.5443843475580215
18,-196.1921456507456,0.05,8.35590038213644,1.4953544666101266
19,-42.893638312653366,0.05,9.160632664680481,1.5482212611436843
20,-148.60574287936407,0.05,10.122584907531738,1.5783293628692627
21,-343.5920393074455,0.05,10.535921280200665,1.6065499988886027
22,39.18045773990616,0.05,11.216843824942135,1.6138924979469151
23,-129.07636466111904,0.05,12.297079379741962,1.6530643116969328
24,-378.40237368914416,0.05,15.045836018479388,1.664856757806695
25,-311.6302422703527,0.05,16.00390199773452,1.679631165195914
26,-54.60368158257841,0.05,15.350095813338822,1.6682509417469438
27,-269.8892227523462,0.05,20.127626216157953,1.6868933058799582
28,-399.0618914121718,0.05,21.425754088521654,1.7188512562402611
29,-141.38630121796334,0.05,22.89810598873701,1.7477001022608554
30,-274.82587372676204,0.05,29.03528455587534,1.7654763663617463
31,-169.36508135633358,0.05,32.000381022083516,1.7625712610426403
32,-64.42214441326435,0.05,31.86704639341773,1.7426240217394946
33,36.70162954539427,0.05,35.55493475891823,1.7449288639911384
34,-113.68514080396174,0.05,48.266594349025105,1.7597315784067835
35,-203.73466664348888,0.05,157.0296949710486,1.7796873319074042
36,-394.1543331544187,0.05,154.39355252675963,1.7813655218640387
37,-345.3846945940563,0.05,125.12086568388548,1.782271902516203
38,-19.657183954805788,0.05,128.12667523986264,1.7768558548296327
39,-18.23146957578605,0.05,109.96076845860743,1.8056775757244654
40,-9.872719786838658,0.05,120.62810250987177,1.7973339220751887
41,-246.29666434630448,0.05,130.6621394367338,1.810003379605851
42,-186.72158180524116,0.05,130.965348020012,1.8158210184839036
43,-10.31175080200147,0.05,131.14476585388184,1.7885777281823558
44,-238.46373637750665,0.05,134.9133149594237,1.7927418172696217
45,-47.83494413830326,0.05,145.12874446724945,1.7998522565049946
46,-53.33191709383067,0.05,140.4050442056263,1.8146051900663627
47,34.97883050135235,0.05,142.07437161167272,1.8069746254733876
48,-510.6434707042082,0.05,146.3711405931893,1.8241357550782673
49,-44.01159804682274,0.05,142.93449922800065,1.8120030790567399
50,-17.624914351358612,0.05,150.43689582461403,1.8210876338065616
51,-116.2540391763842,0.05,148.81888715517476,1.8310886233245733
52,-9.563425697217596,0.05,190.2043401792452,1.8076669008700879
53,-85.6074679692495,0.05,188.78522327172496,1.8268817576178669
54,-25.156354345497974,0.05,197.45772205415318,1.8357824155541718
55,-118.36262860092482,0.05,181.75687534974352,1.8193468917714488
56,17.936925169270708,0.05,191.62343860063396,1.836727674867286
57,-198.49714961136453,0.05,183.66085769317962,1.8460598823788401
58,-285.2434711534457,0.05,185.12537935128796,1.8169923007723843
59,-348.35201089883145,0.05,200.01827475214122,1.8356529412139437
60,-142.35685685257027,0.05,194.56523141920943,1.8647222249013073
61,-44.33252318498168,0.05,178.1393701260683,1.8598017005062608
