episode,return,epsilon,loss,mean_affinity
0,-142.22038749710777,1.0,0.0,0.0
1,-300.95267374748886,1.0,0.0,0.0
2,-391.4455385650507,0.6832098777212641,10.391662647849635,0.0
3,-377.3687913297698,0.23607350863684065,9.977172327491472,0.0
4,213.651645135969,0.05,7.401401392618815,0.0
5,-271.1669821236842,0.05,5.838301747736304,0.0
6,-132.88540680163584,0.05,5.593581353418926,0.0
7,-122.81916086732701,0.05,5.837583078110772,0.0
8,-342.974201058351,0.05,6.405168032034849,0.0
9,-142.25827025078934,0.05,6.130679245265025,0.0
10,-111.86228672603069,0.05,6.97487088946477,0.0
11,-453.52935894522375,0.05,7.505167069944363,0.0
12,-186.5885483942249,0.05,8.84448612339889,0.0
13,-70.46825349317132,0.05,9.737773352199131,0.0
14,-505.13709683278705,0.05,11.729046187520455,0.0
15,-215.30226385889736,0.05,12.830993941852025,0.0
16,12.36488294170178,0.05,14.457929642513545,0.0
17,-505.5655109914023,0.05,14.335016784996823,0.0
18,-259.0907371803481,0.05,13.628610559485175,0.0
19,-110.21681886214996,0.05,19.589231532096864,0.0
20,-142.43860175995866,0.05,21.293868555111832,0.0
21,-107.5281268369811,0.05,24.162313660188598,0.0
22,-105.5412255671648,0.05,35.91983788084984,0.0
23,115.7229279070782,0.05,36.15902844552071,0.0
24,194.69362679519833,0.05,34.21980666227284,0.0
25,157.03122131488834,0.05,48.73509367091014,0.0
26,-85.7001134054092,0.05,43.90266337980925,0.0
27,-75.73875958642542,0.05,54.031194249272346,0.0
28,-90.14577155883721,0.05,59.831681904166636,0.0
29,-63.124643669206435,0.05,68.69188580503229,0.0
30,-96.8694249825071,0.05,71.40404935155361,0.0
31,-88.27258199125798,0.05,62.51651184925666,0.0
32,-92.5178273235452,0.05,42.60730290292083,0.0
33,-12.623551022849085,0.05,32.66991837717154,0.0
34,-82.74783737565153,0.05,32.57937913699583,0.0
35,-121.54802176112317,0.05,19.915364631792393,0.0
36,-127.56864160427929,0.05,32.61353376306392,0.0
37,-13.586969925668683,0.05,28.598714309992676,0.0
38,-137.78081838215144,0.05,25.89484863728285,0.0
39,-41.224039920918116,0.05,29.045396573348,0.0
40,-144.78699787777552,0.05,8.746367285020241,0.0
41,-96.64682153966079,0.05,10.607683385867931,0.0
42,-145.9718772651576,0.05,8.01691884618577,0.0
43,-81.93570491626424,0.05,6.881294891608219,0.0
44,-99.21461013291456,0.05,4.484101223684576,0.0
45,-155.8583084540019,0.05,4.663361103219144,0.0
46,-106.9527295418933,0.05,4.6080308299173005,0.0
47,-184.9899473397914,0.05,4.030008366832702,0.0
48,-290.69847189782314,0.05,4.183998415524933,0.0
49,87.04043009624519,0.05,3.8042638818657735,0.0
50,-123.28930517882682,0.05,3.4978475206928312,0.0
51,-112.13277504389625,0.05,4.1077224681143125,0.0
52,-78.77202241561425,0.05,4.35208526862919,0.0
53,-68.58852681988004,0.05,4.924903082430363,0.0
54,-76.4928126337368,0.05,4.399159271482359,0.0
55,-71.04620747188825,0.05,4.859516323448341,0.0
56,-112.25651799215858,0.05,5.5175164908590455,0.0
57,-82.21144992216723,0.05,5.314035584638407,0.0
58,-86.24761264409268,0.05,6.212520401755517,0.0
59,-89.72209475768304,0.05,4.965367259592983,0.0
60,-185.91222621434548,0.05,5.774393240857568,0.0
61,-166.52550538471237,0.05,6.3455898133998225,0.0
62,-102.41676588065239,0.05,5.522203802288352,0.0
63,-85.27243723983926,0.05,5.663181621962645,0.0
64,-156.5891142145294,0.05,5.372858731785128,0.0
65,-234.7806970947486,0.05,5.499353581810861,0.0
66,-126.83496486558954,0.05,4.723042372369864,0.0
67,-76.0913966862265,0.05,7.016990647137165,0.0
68,-62.850429534109665,0.05,5.889671689778567,0.0
69,-121.39630053270373,0.05,8.118079575875127,0.0
70,-156.00088529895538,0.05,7.465295821224173,0.0
71,-170.23207259396753,0.05,8.758372690770534,0.0
72,-153.87579181434143,0.05,10.617049232049641,0.0
73,-151.68950909742347,0.05,6.987565467134118,0.0
74,-136.75718870878677,0.05,9.648973138013146,0.0
75,-68.05538968805378,0.05,6.847240840279778,0.0
76,-167.50257560278902,0.05,6.159597638869446,0.0
77,-127.03393651551818,0.05,6.500292257258766,0.0
78,-171.0940518258613,0.05,11.362592719219348,0.0
79,-95.5627358496513,0.05,9.171271907171636,0.0
80,-155.69679566563332,0.05,10.223108280109146,0.0
81,-167.19054348784374,0.05,9.4273231856677,0.0
82,-122.86734899529145,0.05,9.556109806534591,0.0
83,-212.7765690055345,0.05,8.07611206215605,0.0
84,-144.514952395707,0.05,9.869165063977242,0.0
85,-116.61072798460424,0.05,9.971608928687507,0.0
86,-110.37077615941543,0.05,8.769652666807175,0.0
87,-71.89565710466594,0.05,5.752916373837162,0.0
88,-90.32205296558872,0.05,6.968465242385864,0.0
89,139.23673542070986,0.05,5.642133810458456,0.0
90,-128.67832706039945,0.05,5.960157315552235,0.0
91,-74.55979971969907,0.05,5.901575243810683,0.0
92,-104.41951698826324,0.05,5.389240616112947,0.0
93,-12.09645645499939,0.05,6.387944330811501,0.0
94,103.93245163294213,0.05,3.1717559762895107,0.0
95,-84.73803168586491,0.05,2.480265116095543,0.0
96,-51.87403625878591,0.05,2.8481684011518955,0.0
97,-106.4342428779046,0.05,2.2755778432488443,0.0
98,-79.81317498510548,0.05,1.960746982038021,0.0
99,-114.18399302239894,0.05,1.7422393651008605,0.0
100,-121.22222479389077,0.05,1.4727658139765263,0.0
101,-85.96582477319647,0.05,1.591644767254591,0.0
102,-89.18465564756279,0.05,1.282466985374689,0.0
103,-91.54416964846084,0.05,1.7813769113123417,0.0
104,-71.8065084532456,0.05,0.8473136631250382,0.0
105,-93.45292942670196,0.05,0.6001946485608164,0.0
106,-46.459193429450934,0.05,0.5880294859409332,0.0
107,-83.97988934724013,0.05,0.6141812012065202,0.0
108,-78.57230209731254,0.05,0.5950439804792405,0.0
109,-63.36388051746261,0.05,0.572046675786376,0.0
110,-120.62874765004753,0.05,0.5846740745979807,0.0
111,-107.280166989506,0.05,0.5474831047467887,0.0
112,-31.460294461144404,0.05,0.5867222590744495,0.0
113,-67.512490011197,0.05,0.5719425019174814,0.0
114,-69.56099477383987,0.05,0.6039067447185517,0.0
115,-71.0625975414428,0.05,0.5966302051395178,0.0
116,-3.9761894106460316,0.05,0.6108135936558247,0.0
117,-111.43407298136594,0.05,0.6432568831690426,0.0
118,-76.55780810652149,0.05,0.6721181141883135,0.0
119,-36.54232603894818,0.05,0.6754425239115953,0.0
120,-44.453692096163465,0.05,0.6325639159828425,0.0
121,-0.8719677825713077,0.05,0.6709881363511085,0.0
122,-24.214432068275748,0.05,0.6575672762095928,0.0
123,-25.003806951013292,0.05,0.9349259398132562,0.0
124,198.17063517810794,0.05,3.3248731984974857,0.0
125,-35.58032729699118,0.05,3.295340853020549,0.0
126,-15.836547411068015,0.05,2.9544482316076754,0.0
127,75.22947407833874,0.05,3.457999351322651,0.0
128,-17.306372903509608,0.05,2.9223418039381506,0.0
129,-117.96094699118737,0.05,2.933757996434967,0.0
130,-10.549089103887901,0.05,2.5971321083158254,0.0
131,-14.027337876140956,0.05,4.462249870240688,0.0
132,-12.549685998641245,0.05,3.233465431511402,0.0
133,-46.91125500622754,0.05,3.2380101866573097,0.0
134,-7.455598129032669,0.05,3.295608828961849,0.0
135,-3.6390045893178624,0.05,1.9862246006727218,0.0
136,4.980860944157588,0.05,1.7110835314691066,0.0
137,-21.05662436365992,0.05,1.6431340923011304,0.0
138,-1.8344424633492284,0.05,1.565896078377962,0.0
139,26.742249584980225,0.05,1.3830771826952697,0.0
140,10.870731754778166,0.05,1.1669328386187554,0.0
141,17.50134367575942,0.05,0.5394597047567368,0.0
142,-10.812494675604842,0.05,0.4942659985870123,0.0
143,-15.818510286221862,0.05,0.4767234065234661,0.0
144,6.174709906871453,0.05,0.45165584756433963,0.0
145,-14.364874782823016,0.05,0.4234460844993591,0.0
146,0.4503912428363284,0.05,0.42574140964448454,0.0
147,-115.63759390504796,0.05,0.4683198496324461,0.0
148,191.79905129173636,0.05,0.7233673313214986,0.0
